0.9921::teamplaysinleague(georgewashingtonuniversityselliottschool, international).
0.9980::teamplaysinleague(portlandstateuniversity, international).
1.0::teamplaysinleague(floridasoutherncollege, ncaa).
1.0::teamplaysinleague(texasstatebobcats, ncaa).
1.0::teamplaysinleague(fairleighdickinsonknights, ncaa).
1.0::teamplaysinleague(elmiracollege, ncaa).
0.9375::teamplaysinleague(barry, international).
0.9375::teamplaysinleague(simmonscollege, international).
1.0::teamplaysinleague(washingtonnationals, mlb).
0.9999::teamplaysinleague(sanfranciscostategators, ncaa).
1.0::teamplaysinleague(kentuckywildcats, ncaa).
0.9375::teamplaysinleague(lewisandclarkcollege, international).
0.9995::teamplaysinleague(biggear, ncaa).
1.0::teamplaysinleague(centralfloridaknights, ncaa).
1.0::teamplaysinleague(olddominionmonarchs, ncaa).
1.0::teamplaysinleague(sanjosestatespartans, ncaa).
0.9990::teamplaysinleague(dominicanstars, ncaa).
1.0::teamplaysinleague(richmondspiders, ncaa).
0.9980::teamplaysinleague(centraleuropeanuniversityinbudapest, international).
1.0::teamplaysinleague(wisconsinoshkoshtitans, ncaa).
0.9980::teamplaysinleague(mcmasteruniversity, international).
0.9999::teamplaysinleague(seattleredhawks, ncaa).
0.9590::teamplaysinleague(jayhawks, mlb).
1.0::teamplaysinleague(baylorbears, ncaa).
1.0::teamplaysinleague(new, nfl).
0.9843::teamplaysinleague(valparaisouniversity, international).
0.9687::teamplaysinleague(massachusettsinstituteoftechnology, international).
1.0::teamplaysinleague(harvardcrimson, ncaa).
1.0::teamplaysinleague(alabamaaandmbulldogs, ncaa).
0.9375::teamplaysinleague(newyorkbobcats, ncaa).
1.0::teamplaysinleague(nebraskaomahamavericks, ncaa).
1.0::teamplaysinleague(stlouisrams, nfl).
0.9990::teamplaysinleague(californiauniversityofpennsylvaniavulcans, ncaa).
0.9995::teamplaysinleague(calstatechicowildcats, ncaa).
0.9995::teamplaysinleague(missourisouthernstatelions, ncaa).
0.9999::teamplaysinleague(calstatebakersfieldroadrunners, ncaa).
0.9995::teamplaysinleague(calstatesanmarcoscougars, ncaa).
1.0::teamplaysinleague(lewisflyers, ncaa).
0.9990::teamplaysinleague(mobilerams, ncaa).
0.9960::teamplaysinleague(macalestercollege, international).
1.0::teamplaysinleague(ncashevillebulldogs, ncaa).
0.9997::teamplaysinleague(denverpioneers, ncaa).
0.9999::teamplaysinleague(lsu, ncaa).
1.0::teamplaysinleague(cavaliers, nba).
1.0::teamplaysinleague(ballstatecardinals, ncaa).
0.9940::teamplaysinleague(buckeyes, bcs).
0.9375::teamplaysinleague(mdeasternshorehawks, ncaa).
0.9375::teamplaysinleague(sofiauniversity, international).
1.0::teamplaysinleague(charlottebobcats, nba).
0.9990::teamplaysinleague(indianawesleyan, ncaa).
1.0::teamplaysinleague(creightonbluejays, ncaa).
0.9375::teamplaysinleague(williampatersonuniversity, international).
1.0::teamplaysinleague(nichollsstatecolonels, ncaa).
1.0::teamplaysinleague(jamesmadisondukes, ncaa).
1.0::teamplaysinleague(edmontonoilers, nhl).
0.9687::teamplaysinleague(nprobowl, nfl).
0.9999::teamplaysinleague(templeuniversity, international).
0.9375::teamplaysinleague(washingtonstcougars, ncaa).
0.9687::teamplaysinleague(uncgspartans, ncaa).
1.0::teamplaysinleague(bostonredsox, mlb).
0.9999::teamplaysinleague(bradkeselowkski, nascar).
0.9997::teamplaysinleague(bloomsburghuskies, ncaa).
0.9999::teamplaysinleague(grandvalleystatel, ncaa).
0.9687::teamplaysinleague(hampdensydneycollegetigers, ncaa).
1.0::teamplaysinleague(iowastatecyclones, ncaa).
1.0::teamplaysinleague(midwesternstatemustangs, ncaa).
1.0::teamplaysinleague(royals, mlb).
0.9843::teamplaysinleague(panteionuniversity, international).
0.9921::teamplaysinleague(mit, international).
1.0::teamplaysinleague(woffordterriers, ncaa).
0.9843::teamplaysinleague(thepennsylvaniastateuniversity, international).
1.0::teamplaysinleague(louisianacollege, ncaa).
1.0::teamplaysinleague(southfloridabulls, ncaa).
0.9375::teamplaysinleague(regisuniversity, international).
0.9921::teamplaysinleague(bonduniversity, international).
1.0::teamplaysinleague(sewanee, ncaa).
0.9990::teamplaysinleague(wisconsinwhitewater, ncaa).
0.9375::teamplaysinleague(mideasternathleticconference, ncaa).
1.0::teamplaysinleague(ipfwmastodons, ncaa).
0.9687::teamplaysinleague(southamptonuniversity, international).
0.9999::teamplaysinleague(pats, nfl).
1.0::teamplaysinleague(buccaneers, nfl).
0.9997::teamplaysinleague(albanystategoldenrams, ncaa).
0.9375::teamplaysinleague(fortlewiscollegeskyhawks, ncaa).
0.9990::teamplaysinleague(midtennstblueraiders, ncaa).
0.9999::teamplaysinleague(michiganstateuniversity, international).
0.9995::teamplaysinleague(clarkatlantapanthers, ncaa).
1.0::teamplaysinleague(northcarolinaaandtaggies, ncaa).
0.9375::teamplaysinleague(dixiestaterebels, ncaa).
0.9921::teamplaysinleague(villanovauniversity, international).
0.9990::teamplaysinleague(plattsburghstatecardinals, ncaa).
1.0::teamplaysinleague(montrealexpos, mlb).
1.0::teamplaysinleague(washingtonredskinslast, nfl).
0.9375::teamplaysinleague(northwooduniversity, international).
0.9995::teamplaysinleague(theohiostateuniversity, international).
0.9843::teamplaysinleague(carletoncollege, international).
0.9999::teamplaysinleague(olemissrebels, ncaa).
0.9960::teamplaysinleague(murraystracers, ncaa).
1.0::teamplaysinleague(stjohn, ncaa).
0.9375::teamplaysinleague(southlandconference, ncaa).
0.9999::teamplaysinleague(okcthunder, nba).
0.9375::teamplaysinleague(nallstar, mlb).
1.0::teamplaysinleague(arizonawildcats, ncaa).
0.9999::teamplaysinleague(maryland, ncaa).
1.0::teamplaysinleague(bostoncollege, ncaa).
0.9980::teamplaysinleague(southernuniversityatneworleansknights, ncaa).
1.0::teamplaysinleague(detroittigers, mlb).
1.0::teamplaysinleague(samhoustonstatebearkats, ncaa).
1.0::teamplaysinleague(alabamastatehornets, ncaa).
0.9980::teamplaysinleague(latrobeuniversity, international).
0.9999::teamplaysinleague(manchesterunited, fa).
1.0::teamplaysinleague(northerniowapanthers, ncaa).
1.0::teamplaysinleague(northernkentuckyuniversity, ncaa).
0.9997::teamplaysinleague(rowanowls, ncaa).
1.0::teamplaysinleague(illinoisfightingillini, ncaa).
0.9375::teamplaysinleague(humboldtuniversity, international).
0.9375::teamplaysinleague(seattlesonics, nba).
1.0::teamplaysinleague(northernarizonalumberjacks, ncaa).
0.9921::teamplaysinleague(freeuniversityofberlin, international).
0.9375::teamplaysinleague(nallstar, nba).
0.9973::teamplaysinleague(acmilan, uefa).
0.9980::teamplaysinleague(curtinuniversity, international).
0.9960::teamplaysinleague(jawaharlalnehruuniversity, international).
0.9960::teamplaysinleague(kingscollege, international).
0.9921::teamplaysinleague(unitedstatesinternationaluniversity, international).
0.9375::teamplaysinleague(gramblingsttigers, ncaa).
1.0::teamplaysinleague(westvirginiamountaineers, ncaa).
0.9843::teamplaysinleague(texasamaggies, ncaa).
0.9999::teamplaysinleague(minnesotaduluthbulldogs, ncaa).
1.0::teamplaysinleague(seahawks, nfl).
0.9995::teamplaysinleague(lakesuperiorstatelakers, ncaa).
0.9995::teamplaysinleague(ohionorthernpolarbears, ncaa).
0.9999::teamplaysinleague(setonhillgriffins, ncaa).
1.0::teamplaysinleague(tuftsjumbos, ncaa).
0.9687::teamplaysinleague(newyorkliberty, wnba).
0.9687::teamplaysinleague(sanfranciscowarriors, nba).
0.9995::teamplaysinleague(montanawesternbulldogs, ncaa).
0.9687::teamplaysinleague(dartmouthcollege, international).
0.9375::teamplaysinleague(newschoolforsocialresearch, international).
1.0::teamplaysinleague(missouristateuniversitybe, ncaa).
0.9375::teamplaysinleague(drexeluniversity, international).
0.9990::teamplaysinleague(warwickuniversity, international).
0.9997::teamplaysinleague(hartfordwhalers, nhl).
0.9990::teamplaysinleague(uppsalauniversity, international).
0.9999::teamplaysinleague(indianauniversity, international).
1.0::teamplaysinleague(bowdoin, ncaa).
0.9687::teamplaysinleague(calpolyslomustangs, ncaa).
1.0::teamplaysinleague(ucfgoldenknights, ncaa).
1.0::teamplaysinleague(northerncoloradobears, ncaa).
0.9921::teamplaysinleague(northcarolinaataggies, ncaa).
1.0::teamplaysinleague(floridastateseminoles, ncaa).
0.9995::teamplaysinleague(wisconsinlacrosseeagles, ncaa).
0.9375::teamplaysinleague(thecitadel, international).
0.9687::teamplaysinleague(easternmichiganuniversity, international).
1.0::teamplaysinleague(buffalobills, nfl).
1.0::teamplaysinleague(newenglandrevolution, mls).
1.0::teamplaysinleague(campbellfightingcamels, ncaa).
0.9980::teamplaysinleague(dickinsoncollege, international).
0.9980::teamplaysinleague(pellissippistatepurplepanthers, ncaa).
0.9999::teamplaysinleague(stlouiscardinals, mlb).
1.0::teamplaysinleague(highpointpanthers, ncaa).
0.9999::teamplaysinleague(liverpool, fa).
0.9375::teamplaysinleague(fresnostbulldogs, ncaa).
0.9843::teamplaysinleague(washingtonbullets, nba).
1.0::teamplaysinleague(northcarolinatarheels, ncaa).
0.9990::teamplaysinleague(huntingtonforesters, ncaa).
0.9960::teamplaysinleague(derbycounty, fa).
1.0::teamplaysinleague(duquesnedukes, ncaa).
0.9999::teamplaysinleague(emoryeagles, ncaa).
1.0::teamplaysinleague(alabamacrimsontide, ncaa).
0.9999::teamplaysinleague(pacers, nba).
1.0::teamplaysinleague(airforcefalcons, ncaa).
1.0::teamplaysinleague(pennsylvaniaquakers, ncaa).
1.0::teamplaysinleague(umbcretrievers, ncaa).
1.0::teamplaysinleague(portlandstvikings, ncaa).
0.9997::teamplaysinleague(waynestateuniversity, international).
1.0::teamplaysinleague(scarolinastbulldogs, ncaa).
0.9375::teamplaysinleague(lavaluniversity, international).
1.0::teamplaysinleague(sanantonio, nba).
1.0::teamplaysinleague(neworleanshornets, nba).
1.0::teamplaysinleague(bears, nfl).
1.0::teamplaysinleague(utahstateaggies, ncaa).
1.0::teamplaysinleague(southdakotacoyotes, ncaa).
1.0::teamplaysinleague(illinoisstate, ncaa).
0.9995::teamplaysinleague(johncarrollbluestreaks, ncaa).
1.0::teamplaysinleague(tampabaylightning, nhl).
0.9375::teamplaysinleague(dhakauniversity, international).
1.0::teamplaysinleague(northcentralcardinals, ncaa).
0.9687::teamplaysinleague(texaselpasominers, ncaa).
1.0::teamplaysinleague(syracuseorangemen, ncaa).
0.9980::teamplaysinleague(wacgear, ncaa).
1.0::teamplaysinleague(transylvania, ncaa).
0.9995::teamplaysinleague(calbears, ncaa).
1.0::teamplaysinleague(pittsburgstategorillas, ncaa).
0.9999::teamplaysinleague(paceuniversity, international).
1.0::teamplaysinleague(torontomapleleafs, nhl).
0.9375::teamplaysinleague(norfolkstspartans, ncaa).
0.9995::teamplaysinleague(texasbrownsvillescorpions, ncaa).
0.9999::teamplaysinleague(chelsea, fa).
0.9990::teamplaysinleague(bigeastgear, ncaa).
1.0::teamplaysinleague(sandiegopadres, mlb).
0.9375::teamplaysinleague(tbilisistateuniversity, international).
0.9998::teamplaysinleague(arkansaslittlerocktrojans, ncaa).
0.9999::teamplaysinleague(ohiouniversity, international).
1.0::teamplaysinleague(pennstnittanylions, ncaa).
0.9995::teamplaysinleague(rochestercollege, ncaa).
0.9843::teamplaysinleague(detroitshock, wnba).
1.0::teamplaysinleague(oklahomasooners, ncaa).
0.9375::teamplaysinleague(sanjosestspartans, ncaa).
0.9801::teamplaysinleague(washingtonsenators, mlb).
0.9990::teamplaysinleague(huntercollege, ncaa).
1.0::teamplaysinleague(sacramentokings, nba).
1.0::teamplaysinleague(westernwashingtonvikings, ncaa).
0.9990::teamplaysinleague(northernmichiganwildcats, ncaa).
1.0::teamplaysinleague(devils, nhl).
1.0::teamplaysinleague(savannahsttigers, ncaa).
1.0::teamplaysinleague(easternillinoispanthers, ncaa).
0.9990::teamplaysinleague(moraviangreyhounds, ncaa).
0.9843::teamplaysinleague(hawaiipacificuniversity, international).
0.9843::teamplaysinleague(americanuniversityeagles, ncaa).
0.9999::teamplaysinleague(trailblazers, nba).
1.0::teamplaysinleague(southcarolinaupstatespartans, ncaa).
0.9687::teamplaysinleague(alabamahuntsvilleuahchargers, ncaa).
1.0::teamplaysinleague(oaklandathletics, mlb).
0.9843::teamplaysinleague(realsaltlake, mls).
0.9375::teamplaysinleague(centraloklahomabroncos, ncaa).
0.9375::teamplaysinleague(mississippistbulldogs, ncaa).
0.9843::teamplaysinleague(usmarinecorps, ncaa).
0.9995::teamplaysinleague(secgear, ncaa).
1.0::teamplaysinleague(austinpeaygovernors, ncaa).
0.9687::teamplaysinleague(texasaandmcorpuschristiislanders, ncaa).
0.9999::teamplaysinleague(trinitycollege, international).
0.9843::teamplaysinleague(pinstripebowlgear, ncaa).
0.9995::teamplaysinleague(wisconsinlutherancollege, ncaa).
0.9375::teamplaysinleague(stnorbertgreenknights, ncaa).
1.0::teamplaysinleague(portlandtrailblazers, nba).
1.0::teamplaysinleague(chicagostcougars, ncaa).
0.9990::teamplaysinleague(middleburycollege, international).
1.0::teamplaysinleague(texaslonghorns, ncaa).
0.9843::teamplaysinleague(nationaldefenseuniversity, international).
0.9960::teamplaysinleague(trentuniversity, international).
0.9995::teamplaysinleague(centralmissourimules, ncaa).
0.9375::teamplaysinleague(queensparkrangers, fa).
1.0::teamplaysinleague(evansvilleaces, ncaa).
0.9375::teamplaysinleague(newyorktitans, nfl).
0.9375::teamplaysinleague(institutotecnolgico, international).
0.9375::teamplaysinleague(oregonstbeavers, ncaa).
1.0::teamplaysinleague(akron, ncaa).
0.9375::teamplaysinleague(wichitastshockers, ncaa).
1.0::teamplaysinleague(bostonterriers, ncaa).
1.0::teamplaysinleague(alcornstatebraves, ncaa).
0.9375::teamplaysinleague(mountallisonuniversity, international).
0.9375::teamplaysinleague(middletennesseestateuniversity, international).
1.0::teamplaysinleague(southernmethodistmustangs, ncaa).
0.9990::teamplaysinleague(northwesternstate, ncaa).
1.0::teamplaysinleague(easttennesseestatebuccaneers, ncaa).
1.0::teamplaysinleague(southernconnecticutstateo, ncaa).
0.9999::teamplaysinleague(eastcarolinaladypirates, mlb).
0.9897::teamplaysinleague(tarheels, acc).
1.0::teamplaysinleague(bradleybraves, ncaa).
1.0::teamplaysinleague(templeowls, ncaa).
0.9995::teamplaysinleague(angelostaterams, ncaa).
1.0::teamplaysinleague(minnesotatimberwolves, nba).
0.9999::teamplaysinleague(sanfranciscostate, international).
0.9999::teamplaysinleague(mariners, mlb).
0.9980::teamplaysinleague(abilenechristianuniversity, ncaa).
0.9995::teamplaysinleague(hamlinepipers, ncaa).
0.9960::teamplaysinleague(nitzeschoolofadvancedinternationalstudies, international).
0.9843::teamplaysinleague(sunbeltconference, ncaa).
0.9687::teamplaysinleague(colonialathleticassociation, ncaa).
0.9687::teamplaysinleague(southeastmissouristate, ncaa).
0.9990::teamplaysinleague(clariongoldeneagles, ncaa).
0.9999::teamplaysinleague(graduateinstituteofinternationalstudies, international).
1.0::teamplaysinleague(oklahomastateuniversity, ncaa).
1.0::teamplaysinleague(ionagaels, ncaa).
0.9997::teamplaysinleague(texassanantonioroadrunners, ncaa).
1.0::teamplaysinleague(texasamcorpuschristiislanders, ncaa).
1.0::teamplaysinleague(southeasternlouisianalions, ncaa).
1.0::teamplaysinleague(philadelphiaeagles, nfl).
0.9843::teamplaysinleague(floridaamrattlers, ncaa).
0.9960::teamplaysinleague(charlesuniversity, international).
0.9980::teamplaysinleague(navalwarcollege, international).
1.0::teamplaysinleague(dowlingcollege, ncaa).
0.9980::teamplaysinleague(bradleyuniversity, international).
0.9994::teamplaysinleague(grandcanyonantelopes, ncaa).
0.9375::teamplaysinleague(earlhamcollege, international).
0.9687::teamplaysinleague(texasaandmaggies, ncaa).
0.9980::teamplaysinleague(seattleuniversity, international).
0.9375::teamplaysinleague(wellesleycollege, international).
0.9687::teamplaysinleague(purdueuniversity, international).
0.9980::teamplaysinleague(southernconference, ncaa).
0.9843::teamplaysinleague(xiamenuniversityinxiamen, international).
1.0::teamplaysinleague(sacredheartpioneers, ncaa).
0.9843::teamplaysinleague(nyuschooloflaw, international).
0.9999::teamplaysinleague(australiannationaluniversity, international).
0.9980::teamplaysinleague(copenhagenbusinessschool, international).
0.9999::teamplaysinleague(georgewashingtoncolonialsbasketball, ncaa).
1.0::teamplaysinleague(stephenfaustinlumberjacks, ncaa).
0.9995::teamplaysinleague(southernillinoisedwardsvillecougars, ncaa).
1.0::teamplaysinleague(westerncarolinacatamount, ncaa).
1.0::teamplaysinleague(northwesternstatedemons, ncaa).
0.9687::teamplaysinleague(stfranciscollegeterriers, ncaa).
1.0::teamplaysinleague(stlouisblues, nhl).
0.9375::teamplaysinleague(wakeforestuniversity, international).
0.9990::teamplaysinleague(stillmantigers, ncaa).
0.9999::teamplaysinleague(chicagofire, mls).
0.9921::teamplaysinleague(bayloruniversity, international).
1.0::teamplaysinleague(michiganstatespartansmensbasketball, ncaa).
0.9687::teamplaysinleague(baltimorebullets, nba).
0.9995::teamplaysinleague(michiganstspartans, ncaa).
0.9590::teamplaysinleague(spartans, bcs).
0.9998::teamplaysinleague(delawarefightinbluehens, ncaa).
0.9843::teamplaysinleague(wheatoncollege, international).
1.0::teamplaysinleague(titans, nfl).
1.0::teamplaysinleague(bucknellbison, ncaa).
1.0::teamplaysinleague(westernillinoisleathernecks, ncaa).
1.0::teamplaysinleague(drakebulldogs, ncaa).
0.9999::teamplaysinleague(houstonbaptisthuskies, ncaa).
1.0::teamplaysinleague(georgemasonpatriots, ncaa).
0.9990::teamplaysinleague(rochesterinstituteoftechnologytigers, ncaa).
0.9999::teamplaysinleague(virginiastatetrojans, ncaa).
1.0::teamplaysinleague(mdbaltimorecountyretrievers, ncaa).
0.9980::teamplaysinleague(wuhanuniversity, international).
0.9999::teamplaysinleague(minnesotastatemavericks, ncaa).
0.9843::teamplaysinleague(olemiss, ncaa).
0.9990::teamplaysinleague(newmanjets, ncaa).
1.0::teamplaysinleague(northfloridaospreys, ncaa).
0.9375::teamplaysinleague(murraystate, ncaa).
0.9999::teamplaysinleague(anaheimangels, mlb).
1.0::teamplaysinleague(centenarygentlemen, ncaa).
0.9843::teamplaysinleague(stockholmschoolofeconomics, international).
1.0::teamplaysinleague(northcarolinawilmingtonseahawks, ncaa).
1.0::teamplaysinleague(brewers, mlb).
0.9375::teamplaysinleague(coloradoschoolofmines, international).
1.0::teamplaysinleague(georgetownuniversitylawcenter, international).
0.9995::teamplaysinleague(westfloridaargonauts, ncaa).
1.0::teamplaysinleague(torontobluejays, mlb).
0.9687::teamplaysinleague(texasaandmkingsvillejavelinas, ncaa).
0.9375::teamplaysinleague(bucknelluniversity, international).
1.0::teamplaysinleague(tennesseestatetigers, ncaa).
1.0::teamplaysinleague(portlandpilots, ncaa).
1.0::teamplaysinleague(southernuniversityjaguars, ncaa).
1.0::teamplaysinleague(packers, nfl).
0.9687::teamplaysinleague(minnesotanorthstars, nhl).
1.0::teamplaysinleague(kansascityroyals, mlb).
1.0::teamplaysinleague(oaklandraiders, afc).
0.9990::teamplaysinleague(westernoregonwolves, ncaa).
1.0::teamplaysinleague(sanjosesharks, nhl).
0.9980::teamplaysinleague(calstatechannelislanddolphins, ncaa).
1.0::teamplaysinleague(ballstcardinals, ncaa).
0.9687::teamplaysinleague(horizonleague, ncaa).
0.9997::teamplaysinleague(missourikansascitykangaroos, ncaa).
0.9999::teamplaysinleague(cavs, nba).
0.9375::teamplaysinleague(rensselaerpolytechnicinstituteengineers, ncaa).
1.0::teamplaysinleague(wagnercollege, ncaa).
0.9999::teamplaysinleague(arizonadiamondbacks, mlb).
0.9843::teamplaysinleague(clarkcollege, international).
1.0::teamplaysinleague(hawks, nba).
0.9921::teamplaysinleague(dublincityuniversity, international).
1.0::teamplaysinleague(raptors, nba).
0.9999::teamplaysinleague(coloradorapids, mls).
0.9375::teamplaysinleague(kansasroyals, mlb).
0.9990::teamplaysinleague(washingtonandleegenerals, ncaa).
1.0::teamplaysinleague(stpeterspeacocks, ncaa).
0.9997::teamplaysinleague(emoryuniversity, international).
1.0::teamplaysinleague(moreheadstateeagles, ncaa).
1.0::teamplaysinleague(fairfieldstags, ncaa).
1.0::teamplaysinleague(columbiauniversitylions, ncaa).
0.9990::teamplaysinleague(saintfrancisredflash, ncaa).
0.9995::teamplaysinleague(kentuckystthorobred, ncaa).
1.0::teamplaysinleague(texasarlingtonmavericks, ncaa).
1.0::teamplaysinleague(dallasstars, nhl).
0.9999::teamplaysinleague(chowanbraves, mlb).
