,Entity,Iteration,Probability,Relation,Value
24,concept:sportsteam:mit,850,0.998046875,concept:teamplaysincity,concept:city:cambridge
25,concept:sportsteam:mit,850,0.9375,concept:teamplaysinleague,concept:sportsleague:national
26,concept:sportsteam:tcu,850,0.9375,concept:teamplaysagainstteam,concept:sportsteam:boise_state
27,concept:sportsteam:tcu,850,0.984375,concept:teamplayssport,concept:sport:basketball
28,concept:sportsteam:wake_forest,850,0.96875,concept:teamplaysagainstteam,concept:sportsteam:tar_heels
29,concept:sportsteam:wake_forest,850,0.9375,concept:teamplaysagainstteam,concept:sportsteam:eagles_32_25
30,concept:sportsteam:wake_forest,850,0.96875,concept:teamplaysagainstteam,concept:sportsteam:virginia_tech
31,concept:sportsteam:wake_forest,850,0.9999999999854481,concept:teamplaysincity,concept:city:winston_salem
32,concept:sportsteam:wake_forest,850,0.96875,concept:teamplaysinleague,concept:sportsleague:acc
33,concept:sportsteam:wake_forest,850,0.999111506944731,concept:teamplayssport,concept:sport:basketball
34,concept:sportsteam:siena_heights,850,0.99609375,concept:teamplaysincity,concept:geopoliticallocation:adrian
35,concept:sportsteam:southeast_missouri_state,850,0.9999847412109375,concept:teamplaysincity,concept:city:cape_girardeau
36,concept:sportsteam:california_polytechnic,850,0.9375,concept:teamplaysincity,concept:city:san_luis_obispo
37,concept:sportsteam:american_academy_of_dramatic_arts,850,0.984375,concept:teamplaysincity,concept:city:new_york_city
38,concept:sportsteam:henderson_state,850,0.99993896484375,concept:teamplaysincity,concept:city:arkadelphia
39,concept:sportsteam:tar_heels,850,0.96875,concept:teamplaysagainstteam,concept:sportsteam:terps
40,concept:sportsteam:tar_heels,850,0.9375,concept:teamplaysagainstteam,concept:sportsteam:wake_forest
41,concept:sportsteam:tar_heels,850,0.9375,concept:teamplaysagainstteam,concept:sportsteam:duke_blue_devils
42,concept:sportsteam:tar_heels,850,0.98975,concept:teamplaysinleague,concept:sportsleague:acc
43,concept:sportsteam:tar_heels,850,1.0,concept:teamplayssport,concept:sport:basketball
44,concept:athlete:kovalchuk,850,0.9924624932079319,concept:athleteplaysforteam,concept:sportsteam:thrashers
45,concept:athlete:carlos_delfino,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
46,concept:sport:jujitsu,829,1.0,concept:sportschoolincountry,concept:country:japan
47,concept:sport:snooker,673,0.9921875,concept:sportusesequipment,concept:tool:accessories
48,concept:sport:rounders,722,0.96875,concept:sportusesequipment,concept:sportsequipment:ball
49,concept:sport:futsal,845,0.96875,concept:sportfansincountry,concept:country:brazil
50,concept:sport:futsal,847,1.0,concept:sportfansincountry,concept:country:papua_new_guinea
51,concept:sport:futsal,847,1.0,concept:sportfansincountry,concept:country:new_zeland
52,concept:sport:wakeboard,671,1.0,concept:sportusesequipment,concept:sportsequipment:equipment
53,concept:hobby:hunting,841,0.9999999403953552,concept:sportschoolincountry,concept:country:america
54,concept:hobby:hunting,724,0.99951171875,concept:sportusesequipment,concept:sportsequipment:equipment
55,concept:hobby:hunting,724,0.9921875,concept:sportusesequipment,concept:sportsequipment:supplies
56,concept:hobby:hunting,725,0.96875,concept:sportusesequipment,concept:sportsequipment:apparel
57,concept:hobby:hunting,671,0.9921875,concept:sportusesequipment,concept:tool:accessories
58,concept:sport:tennis,850,1.0,concept:sportfansincountry,concept:country:member_countries
59,concept:sport:tennis,841,0.9921875,concept:sportschoolincountry,concept:country:america
60,concept:sport:tennis,850,0.96875,concept:sportschoolincountry,concept:country:member_countries
61,concept:sport:tennis,724,1.0,concept:sportusesequipment,concept:sportsequipment:tennis_ball
62,concept:sport:tennis,190,0.9921875,concept:sportusesequipment,concept:sportsequipment:tennis_rackets
63,concept:sport:tennis,156,0.9999999999999432,concept:sportusesequipment,concept:sportsequipment:balls
64,concept:sport:tennis,634,1.0,concept:sportusesequipment,concept:sportsequipment:baseball_bat
65,concept:sport:tennis,727,0.96875,concept:sportusesequipment,concept:sportsequipment:equipments
66,concept:sport:tennis,671,0.96875,concept:sportusesequipment,concept:sportsequipment:stick
67,concept:sport:tennis,605,0.9375,concept:sportusesequipment,concept:sportsequipment:baseball_bats
68,concept:sport:tennis,683,0.998046875,concept:sportusesequipment,concept:sportsequipment:nets
69,concept:sport:tennis,557,0.9998779296875,concept:sportusesequipment,concept:sportsequipment:string
70,concept:sport:tennis,625,0.998046875,concept:sportusesequipment,concept:sportsequipment:bag
71,concept:sport:tennis,731,0.998046875,concept:sportusesequipment,concept:sportsequipment:part
72,concept:sport:tennis,727,0.9375,concept:sportusesequipment,concept:sportsequipment:paddles
73,concept:sport:tennis,683,0.984375,concept:sportusesequipment,concept:sportsequipment:tape
74,concept:sport:tennis,739,0.9375,concept:sportusesequipment,concept:sportsequipment:stuff
75,concept:sport:tennis,658,0.96875,concept:sportusesequipment,concept:sportsequipment:sock
76,concept:sport:tennis,709,0.9999961853027344,concept:sportusesequipment,concept:sportsequipment:clubs
77,concept:sport:tennis,724,0.999969482421875,concept:sportusesequipment,concept:sportsequipment:gear
78,concept:sport:tennis,629,0.984375,concept:sportusesequipment,concept:sportsequipment:set
79,concept:sport:tennis,689,0.999942504771965,concept:sportusesequipment,concept:sportsequipment:bags
80,concept:sport:tennis,601,0.9999998807907104,concept:sportusesequipment,concept:sportsequipment:racquets
81,concept:sport:tennis,683,0.9999999403953552,concept:sportusesequipment,concept:sportsequipment:rackets
82,concept:sport:tennis,629,0.99609375,concept:sportusesequipment,concept:sportsequipment:golf_club
83,concept:sport:tennis,772,0.9375,concept:sportusesequipment,concept:sportsequipment:wire
84,concept:sport:tennis,725,0.998046875,concept:sportusesequipment,concept:sportsequipment:top
85,concept:sport:tennis,514,0.9375,concept:sportusesequipment,concept:sportsequipment:baseballs
86,concept:sport:tennis,556,1.0,concept:sportusesequipment,concept:sportsequipment:racket
87,concept:sport:tennis,683,0.99609375,concept:sportusesequipment,concept:sportsequipment:supplies
88,concept:sport:tennis,601,0.9999961853027344,concept:sportusesequipment,concept:sportsequipment:strings
89,concept:sport:tennis,713,1.0,concept:sportusesequipment,concept:sportsequipment:tennis_racquet
90,concept:sport:tennis,700,0.9998779296875,concept:sportusesequipment,concept:sportsequipment:apparel
91,concept:sport:tennis,515,0.9375,concept:sportusesequipment,concept:sportsequipment:skis
92,concept:sport:tennis,706,0.9999980926513672,concept:sportusesequipment,concept:sportsequipment:club
93,concept:sport:tennis,725,0.9989398020126714,concept:sportusesequipment,concept:sportsequipment:softball
94,concept:sport:tennis,625,0.96875,concept:sportusesequipment,concept:sportsequipment:sticks
95,concept:sport:tennis,355,1.0,concept:sportusesequipment,concept:sportsequipment:footballs
96,concept:sport:tennis,514,0.96875,concept:sportusesequipment,concept:sportsequipment:hockey_sticks
97,concept:sport:tennis,683,0.9998474163377367,concept:sportusesequipment,concept:sportsequipment:tennis_equipment
98,concept:sport:tennis,664,0.96875,concept:sportusesequipment,concept:sportsequipment:sports_equipment
99,concept:sport:tennis,190,0.9999923441435221,concept:sportusesequipment,concept:sportsequipment:tennis_balls
100,concept:sport:tennis,198,0.984375,concept:sportusesequipment,concept:sportsequipment:golf_ball
101,concept:sport:tennis,190,0.984375,concept:sportusesequipment,concept:sportsequipment:tennis_racquets
102,concept:sport:tennis,233,0.99951171875,concept:sportusesequipment,concept:sportsequipment:tennis_racket
103,concept:sport:tennis,683,0.9998779296875,concept:sportusesequipment,concept:sportsequipment:tennis_shoes
104,concept:sport:tennis,188,0.9921875,concept:sportusesequipment,concept:sportsequipment:golf_balls
105,concept:sport:tennis,182,1.0,concept:sportusesequipment,concept:sportsequipment:racquet
106,concept:sport:tennis,670,0.999755859375,concept:sportusesequipment,concept:sportsequipment:products
107,concept:sport:tennis,571,0.9999999999854481,concept:sportusesequipment,concept:sportsequipment:equipment
108,concept:sport:tennis,778,0.9375,concept:sportusesequipment,concept:software:system
109,concept:sport:tennis,629,0.9921875,concept:sportusesequipment,concept:sportsequipment:rope
110,concept:sport:tennis,724,0.9999952199442503,concept:sportusesequipment,concept:sportsequipment:net
111,concept:sport:tennis,724,0.999972470852585,concept:sportusesequipment,concept:visualizablething:toys
112,concept:sport:tennis,198,0.9999861121184974,concept:sportusesequipment,concept:sportsequipment:bat
113,concept:sport:tennis,671,1.0,concept:sportusesequipment,concept:tool:accessories
114,concept:sport:tennis,625,0.9999999999990905,concept:sportusesequipment,concept:sportsequipment:ball
115,concept:sport:tennis,772,0.96875,concept:sportusesequipment,concept:tool:lights
116,concept:sport:tennis,664,0.9921875,concept:sportusesequipment,concept:tool:grips
117,concept:sport:tennis,625,0.96875,concept:sportusesequipment,concept:sportsequipment:basket
118,concept:sport:tennis,814,0.9999997615814209,concept:sportusesequipment,concept:sportsequipment:area
119,concept:sport:tennis,769,0.9999350220407212,concept:sportusesequipment,concept:visualizableobject:grip
120,concept:sport:tennis,406,1.0,concept:sportusesstadium,concept:stadiumoreventvenue:arthur_ashe_stadium
121,concept:sport:tennis,551,1.0,concept:sportusesstadium,concept:stadiumoreventvenue:centre_court
122,concept:hobby:kayaking,841,0.9375,concept:sportschoolincountry,concept:country:america
123,concept:sport:ncaa_basketball,829,0.9375,concept:sporthassportsteamposition,concept:sportsteamposition:line
124,concept:sport:floor_hockey,625,1.0,concept:sportusesequipment,concept:sportsequipment:sticks
125,concept:sport:table_tennis,571,1.0,concept:sportusesequipment,concept:sportsequipment:equipment
126,concept:sport:table_tennis,515,1.0,concept:sportusesequipment,concept:sportsequipment:balls
127,concept:sport:table_tennis,622,1.0,concept:sportusesequipment,concept:sportsequipment:rackets
128,concept:sport:table_tennis,685,0.9999662702447021,concept:sportusesequipment,concept:sportsequipment:ball
129,concept:sport:surf,845,1.0,concept:sportschoolincountry,concept:country:mexico
130,concept:sport:surf,847,1.0,concept:sportschoolincountry,concept:country:papua_new_guinea
131,concept:sport:surf,850,1.0,concept:sportschoolincountry,concept:country:wales
132,concept:sport:surf,850,1.0,concept:sportschoolincountry,concept:country:caribbean_island
133,concept:sport:surf,850,1.0,concept:sportschoolincountry,concept:country:eu_countries
134,concept:sport:surf,850,0.96875,concept:sportschoolincountry,concept:country:america
135,concept:sport:surf,845,1.0,concept:sportschoolincountry,concept:country:australia
136,concept:sport:surf,601,1.0,concept:sportusesequipment,concept:sportsequipment:equipment
137,concept:sport:surf,700,0.96875,concept:sportusesequipment,concept:sportsequipment:apparel
138,concept:sport:boat,683,0.998046875,concept:sportusesequipment,concept:sportsequipment:supplies
139,concept:sport:boat,715,0.9375,concept:sportusesequipment,concept:sportsequipment:gear
140,concept:sport:boat,631,0.998046875,concept:sportusesequipment,concept:sportsequipment:products
141,concept:sport:boat,724,0.9999507353209777,concept:sportusesequipment,concept:tool:accessories
142,concept:hobby:rock_climbing,724,0.9375,concept:sportusesequipment,concept:sportsequipment:equipment
143,concept:sport:snowmobiling,841,0.984375,concept:sportschoolincountry,concept:country:america
144,concept:sport:ladies_golf,671,0.96875,concept:sportusesequipment,concept:tool:accessories
145,concept:sport:sumo,829,1.0,concept:sportfansincountry,concept:country:japan
146,concept:sport:karting,841,0.9375,concept:sportschoolincountry,concept:country:america
147,concept:sport:ice_hockey,850,0.984375,concept:sportfansincountry,concept:country:member_countries
148,concept:sport:ice_hockey,841,0.96875,concept:sportschoolincountry,concept:country:america
149,concept:sport:ice_hockey,683,0.984375,concept:sportusesequipment,concept:sportsequipment:equipment
150,concept:sport:ice_hockey,724,0.9921875,concept:sportusesequipment,concept:sportsequipment:skates
151,concept:sport:water_polo,728,0.9921875,concept:sportusesequipment,concept:sportsequipment:ball
152,concept:sport:rugby,847,0.999999268462175,concept:sportfansincountry,concept:country:france
153,concept:sport:rugby,743,0.96875,concept:sportfansincountry,concept:country:fiji
154,concept:sport:rugby,847,0.9999847412109375,concept:sportfansincountry,concept:country:papua_new_guinea
155,concept:sport:rugby,724,0.9999267439946219,concept:sportfansincountry,concept:country:scotland
156,concept:sport:rugby,842,0.96875,concept:sportfansincountry,concept:country:america
157,concept:sport:rugby,779,1.0,concept:sportfansincountry,concept:country:britain
158,concept:sport:rugby,829,0.9999999989798949,concept:sportfansincountry,concept:country:england
159,concept:sport:rugby,850,1.0,concept:sportfansincountry,concept:country:usa___
160,concept:sport:rugby,850,0.9999870827140351,concept:sportfansincountry,concept:country:ireland
161,concept:sport:rugby,850,0.9983144039778272,concept:sportfansincountry,concept:country:wales
162,concept:sport:rugby,845,0.9999999888154868,concept:sportfansincountry,concept:country:australia
163,concept:sport:rugby,553,1.0,concept:sporthassportsteamposition,concept:sportsteamposition:player
164,concept:sport:rugby,841,0.984375,concept:sportschoolincountry,concept:country:america
165,concept:sport:rugby,622,1.0,concept:sportusesequipment,concept:sportsequipment:glove
166,concept:sport:rugby,647,0.984375,concept:sportusesequipment,concept:sportsequipment:balls
167,concept:sport:rugby,787,0.9375,concept:sportusesequipment,concept:sportsequipment:ball
168,concept:sport:favorite_sports,844,0.9375,concept:sportusesequipment,concept:sportsequipment:football
169,concept:sport:professional_soccer,847,0.9981440519055065,concept:sportfansincountry,concept:country:america
170,concept:sport:professional_soccer,847,0.9375,concept:sportschoolincountry,concept:country:america
171,concept:sport:professional_football,842,0.984375,concept:sporthassportsteamposition,concept:sportsteamposition:quarterback
172,concept:sport:professional_football,842,0.9375,concept:sporthassportsteamposition,concept:sportsteamposition:receiver
173,concept:sport:professional_football,842,0.99609375,concept:sportusesequipment,concept:sportsequipment:football
174,concept:sport:football_history,799,0.99609375,concept:sporthassportsteamposition,concept:sportsteamposition:coaches
175,concept:sport:football_history,799,0.984375,concept:sporthassportsteamposition,concept:sportsteamposition:player
176,concept:sport:cross_country,841,0.984375,concept:sportschoolincountry,concept:country:america
177,concept:sport:volley_ball,730,0.984375,concept:sportusesequipment,concept:sportsequipment:ball
178,concept:sport:wiffle,832,0.984375,concept:sportusesequipment,concept:sportsequipment:balls
179,concept:sport:ncaa_football,599,0.9999995231628418,concept:sporthassportsteamposition,concept:sportsteamposition:line
180,concept:hobby:rafting,841,0.96875,concept:sportschoolincountry,concept:country:america
181,concept:sport:billiard,683,0.9375,concept:sportusesequipment,concept:sportsequipment:balls
182,concept:sport:billiard,724,0.9921875,concept:sportusesequipment,concept:sportsequipment:supplies
183,concept:sport:billiard,683,0.9999840861385959,concept:sportusesequipment,concept:tool:accessories
184,concept:sport:archery,844,1.0,concept:sportschoolincountry,concept:country:canada
185,concept:sport:ski,847,0.9999999728779847,concept:sportfansincountry,concept:country:france
186,concept:sport:ski,847,0.9999661460305854,concept:sportfansincountry,concept:country:austria
187,concept:sport:ski,829,0.9999318424495373,concept:sportfansincountry,concept:country:japan
188,concept:sport:ski,847,0.96875,concept:sportfansincountry,concept:country:papua_new_guinea
189,concept:sport:ski,844,1.0,concept:sportfansincountry,concept:country:canada
190,concept:sport:ski,488,1.0,concept:sportfansincountry,concept:country:andorra
191,concept:sport:ski,746,1.0,concept:sportfansincountry,concept:country:switzerland
192,concept:sport:ski,850,1.0,concept:sportfansincountry,concept:country:member_countries
193,concept:sport:ski,850,0.9987355111049471,concept:sportfansincountry,concept:country:usa___
194,concept:sport:ski,847,0.9978540334263327,concept:sportfansincountry,concept:island:virgin_islands
195,concept:sport:ski,845,0.96875,concept:sportfansincountry,concept:country:australia
196,concept:sport:ski,847,1.0,concept:sportschoolincountry,concept:country:france
197,concept:sport:ski,829,1.0,concept:sportschoolincountry,concept:country:japan
198,concept:sport:ski,848,0.9375,concept:sportschoolincountry,concept:country:turkey
199,concept:sport:ski,799,1.0,concept:sportschoolincountry,concept:country:italia
200,concept:sport:ski,692,0.9994815485392445,concept:sportschoolincountry,concept:country:scotland
201,concept:sport:ski,622,1.0,concept:sportschoolincountry,concept:country:liechtenstein
202,concept:sport:ski,802,1.0,concept:sportschoolincountry,concept:country:czech_republic
203,concept:sport:ski,797,1.0,concept:sportschoolincountry,concept:country:romania
204,concept:sport:ski,692,1.0,concept:sportschoolincountry,concept:country:finland
205,concept:sport:ski,829,0.984375,concept:sportschoolincountry,concept:country:iran
206,concept:sport:ski,547,1.0,concept:sportschoolincountry,concept:country:slovenia
207,concept:sport:ski,740,0.984375,concept:sportschoolincountry,concept:country:chile
208,concept:sport:ski,847,1.0,concept:sportschoolincountry,concept:country:china
209,concept:sport:ski,488,1.0,concept:sportschoolincountry,concept:country:andorra
210,concept:sport:ski,692,1.0,concept:sportschoolincountry,concept:country:sweden
211,concept:sport:ski,779,1.0,concept:sportschoolincountry,concept:country:macedonia
212,concept:sport:ski,847,1.0,concept:sportschoolincountry,concept:country:germany
213,concept:sport:ski,847,1.0,concept:sportschoolincountry,concept:country:austria
214,concept:sport:ski,674,1.0,concept:sportschoolincountry,concept:country:argentina
215,concept:sport:ski,847,1.0,concept:sportschoolincountry,concept:country:papua_new_guinea
216,concept:sport:ski,779,1.0,concept:sportschoolincountry,concept:country:spain
217,concept:sport:ski,622,1.0,concept:sportschoolincountry,concept:country:lesotho
218,concept:sport:ski,848,0.96875,concept:sportschoolincountry,concept:country:korea
219,concept:sport:ski,794,0.96875,concept:sportschoolincountry,concept:country:greece
220,concept:sport:ski,692,0.9999534938934146,concept:sportschoolincountry,concept:country:slovakia
221,concept:sport:ski,841,1.0,concept:sportschoolincountry,concept:country:america
222,concept:sport:ski,556,1.0,concept:sportschoolincountry,concept:country:norway
223,concept:sport:ski,844,1.0,concept:sportschoolincountry,concept:country:canada
224,concept:sport:ski,829,1.0,concept:sportschoolincountry,concept:country:england
225,concept:sport:ski,683,1.0,concept:sportschoolincountry,concept:country:pyrenees
226,concept:sport:ski,670,1.0,concept:sportschoolincountry,concept:country:serbia
227,concept:sport:ski,845,1.0,concept:sportschoolincountry,concept:country:bulgaria
228,concept:sport:ski,746,1.0,concept:sportschoolincountry,concept:country:switzerland
229,concept:sport:ski,692,1.0,concept:sportschoolincountry,concept:country:poland
230,concept:sport:ski,850,1.0,concept:sportschoolincountry,concept:country:eu_countries
231,concept:sport:ski,850,1.0,concept:sportschoolincountry,concept:country:member_countries
232,concept:sport:ski,850,1.0,concept:sportschoolincountry,concept:country:united_kingdom
233,concept:sport:ski,850,1.0,concept:sportschoolincountry,concept:country:usa___
234,concept:sport:ski,850,0.96875,concept:sportschoolincountry,concept:country:india
235,concept:sport:ski,850,0.9375,concept:sportschoolincountry,concept:country:the_us
236,concept:sport:ski,845,1.0,concept:sportschoolincountry,concept:country:australia
237,concept:sport:ski,847,0.9998790318479284,concept:sportschoolincountry,concept:island:virgin_islands
238,concept:sport:ski,686,0.9375,concept:sportusesequipment,concept:sportsequipment:club
239,concept:sport:ski,571,1.0,concept:sportusesequipment,concept:sportsequipment:equipment
240,concept:sport:ski,818,0.99951171875,concept:sportusesequipment,concept:sportsequipment:packages
241,concept:sport:ski,724,0.9921875,concept:sportusesequipment,concept:sportsequipment:clubs
242,concept:sport:ski,724,0.9999436345913718,concept:sportusesequipment,concept:sportsequipment:gear
243,concept:sport:ski,700,0.96875,concept:sportusesequipment,concept:sportsequipment:apparel
244,concept:sport:ski,722,0.9999898869315269,concept:sportusesequipment,concept:sportsequipment:skis
245,concept:sport:ski,683,0.99609375,concept:sportusesequipment,concept:tool:accessories
246,concept:sport:basket_ball,724,0.984375,concept:sportusesequipment,concept:sportsequipment:ball
247,concept:sport:polo,841,0.96875,concept:sportfansincountry,concept:country:america
248,concept:sport:polo,850,1.0,concept:sportfansincountry,concept:country:eu_countries
249,concept:sport:polo,844,0.9375,concept:sportschoolincountry,concept:country:america
250,concept:sport:polo,724,0.9375,concept:sportusesequipment,concept:sportsequipment:ball
251,concept:sport:fitness,841,0.998046875,concept:sportschoolincountry,concept:country:america
252,concept:sport:fitness,689,0.9999999997671694,concept:sportusesequipment,concept:sportsequipment:equipment
253,concept:sport:fitness,731,0.998046875,concept:sportusesequipment,concept:sportsequipment:training_equipment
254,concept:sport:fitness,689,0.9921875,concept:sportusesequipment,concept:sportsequipment:exercise_bikes
255,concept:sport:fitness,796,0.9375,concept:sportusesequipment,concept:sportsequipment:home_gyms
256,concept:sport:fitness,844,0.9375,concept:sportusesequipment,concept:sportsequipment:treadmill
257,concept:sport:fitness,839,0.9375,concept:sportusesequipment,concept:sportsequipment:training_machines
258,concept:sport:fitness,838,0.99993896484375,concept:sportusesequipment,concept:sportsequipment:exercise_equipment
259,concept:sport:fitness,803,0.9998737411459235,concept:sportusesequipment,concept:sportsequipment:equipments
260,concept:sport:fitness,710,0.9921875,concept:sportusesequipment,concept:sportsequipment:clubs
261,concept:sport:fitness,715,0.9991578493637171,concept:sportusesequipment,concept:sportsequipment:gear
262,concept:sport:fitness,689,0.9998805676650601,concept:sportusesequipment,concept:sportsequipment:treadmills
263,concept:sport:fitness,838,0.984375,concept:sportusesequipment,concept:sportsequipment:cardio_equipment
264,concept:sport:fitness,842,0.9921875,concept:sportusesequipment,concept:sportsequipment:cardiovascular_equipment
265,concept:sport:fitness,839,0.96875,concept:sportusesequipment,concept:sportsequipment:workout_equipment
266,concept:sport:fitness,697,0.984375,concept:sportusesequipment,concept:sportsequipment:bikes
267,concept:sport:fitness,695,0.9375,concept:sportusesequipment,concept:sportsequipment:elliptical_trainers
268,concept:sport:fitness,722,0.998046875,concept:sportusesequipment,concept:sportsequipment:fitness_equipment
269,concept:sport:fitness,757,0.9990234375,concept:sportusesequipment,concept:sportsequipment:products
270,concept:sport:fitness,850,0.9375,concept:sportusesequipment,concept:sportsequipment:state_of_the_art_equipment
271,concept:sport:fitness,689,0.9921875,concept:sportusesequipment,concept:tool:accessories
272,concept:sport:fitness,689,0.99609375,concept:sportusesequipment,concept:tool:supplements
273,concept:sport:pool,722,0.9999998807907104,concept:sportusesequipment,concept:sportsequipment:equipment
274,concept:sport:pool,601,1.0,concept:sportusesequipment,concept:sportsequipment:supplies
275,concept:sport:pool,601,1.0,concept:sportusesequipment,concept:sportsequipment:pool_tables
276,concept:sport:pool,601,0.9999993743827443,concept:sportusesequipment,concept:sportsequipment:balls
277,concept:sport:pool,829,0.9375,concept:sportusesequipment,concept:sportsequipment:cue_ball
278,concept:sport:pool,722,0.984375,concept:sportusesequipment,concept:sportsequipment:sticks
279,concept:sport:pool,683,0.9999847412109375,concept:sportusesequipment,concept:sportsequipment:products
280,concept:sport:pool,601,1.0,concept:sportusesequipment,concept:visualizablething:toys
281,concept:sport:pool,671,0.9999999403953552,concept:sportusesequipment,concept:tool:accessories
282,concept:sport:pool,728,0.9995728819921281,concept:sportusesequipment,concept:sportsequipment:ball
283,concept:hobby:windsurfing,841,0.9375,concept:sportschoolincountry,concept:country:america
284,concept:sport:sports,841,0.9999999925494194,concept:sportfansincountry,concept:country:america
285,concept:sport:sports,850,0.96875,concept:sportfansincountry,concept:country:member_countries
286,concept:sport:sports,850,0.9375,concept:sportfansincountry,concept:country:ireland
287,concept:sport:sports,850,0.9375,concept:sportfansincountry,concept:country:the_us
288,concept:sport:sports,845,0.9999869951817549,concept:sportfansincountry,concept:country:australia
289,concept:sport:sports,748,0.9999923706054688,concept:sporthassportsteamposition,concept:sportsteamposition:back
290,concept:sport:sports,841,0.9999999999417923,concept:sportschoolincountry,concept:country:america
291,concept:sport:sports,724,0.99609375,concept:sportusesequipment,concept:sportsequipment:helmets
292,concept:sport:sports,718,0.96875,concept:sportusesequipment,concept:sportsequipment:bats
293,concept:sport:sports,718,0.9375,concept:sportusesequipment,concept:sportsequipment:basketballs
294,concept:sport:sports,724,0.999755859375,concept:sportusesequipment,concept:sportsequipment:balls
295,concept:sport:sports,718,0.96875,concept:sportusesequipment,concept:sportsequipment:rackets
296,concept:sport:sports,718,0.9375,concept:sportusesequipment,concept:sportsequipment:mountain_bikes
297,concept:sport:sports,832,0.96875,concept:sportusesequipment,concept:sportsequipment:sports_collectibles
298,concept:sport:sports,800,0.9999980926513672,concept:sportusesequipment,concept:sportsequipment:memorabilia
299,concept:sport:sports,769,0.9375,concept:sportusesequipment,concept:sportsequipment:equipments
300,concept:sport:sports,718,0.96875,concept:sportusesequipment,concept:sportsequipment:baseball_bats
301,concept:sport:sports,718,0.9990339091713846,concept:sportusesequipment,concept:sportsequipment:sports_equipment
302,concept:sport:sports,718,0.9375,concept:sportusesequipment,concept:sportsequipment:fitness_equipment
303,concept:sport:sports,724,0.9999995231628418,concept:sportusesequipment,concept:sportsequipment:products
304,concept:sport:sports,808,0.96875,concept:sportusesequipment,concept:sportsequipment:sports_memorabilia
305,concept:sport:sports,718,0.9999999999997726,concept:sportusesequipment,concept:sportsequipment:equipment
306,concept:sport:sports,718,0.96875,concept:sportusesequipment,concept:sportsequipment:soccer_balls
307,concept:sport:sports,718,0.99993896484375,concept:sportusesequipment,concept:sportsequipment:collectibles
308,concept:sport:sports,718,0.96875,concept:sportusesequipment,concept:sportsequipment:jerseys
309,concept:sport:sports,818,0.96875,concept:sportusesequipment,concept:sportsequipment:packages
310,concept:sport:sports,718,0.9375,concept:sportusesequipment,concept:sportsequipment:kayaks
311,concept:sport:sports,718,1.0,concept:sportusesequipment,concept:sportsequipment:football
312,concept:sport:sports,724,0.9998910279626091,concept:sportusesequipment,concept:sportsequipment:supplies
313,concept:sport:sports,718,0.9999995231628418,concept:sportusesequipment,concept:sportsequipment:clubs
314,concept:sport:sports,718,0.9999997753281309,concept:sportusesequipment,concept:sportsequipment:gear
315,concept:sport:sports,718,0.998046875,concept:sportusesequipment,concept:sportsequipment:bags
