,Entity,Iteration,Probability,Relation,Value
57,concept:athlete:aaron,1070,1.0,concept:athleteplayssportsteamposition,concept:sportsteamposition:player
58,concept:sportsteam:ny_islanders,1070,0.9999998201767192,concept:teamhomestadium,concept:stadiumoreventvenue:nassau_coliseum
59,concept:sportsteam:ny_islanders,1070,0.9999999991114061,concept:teamplaysinleague,concept:sportsleague:nhl
60,concept:athlete:albert,1070,1.0,concept:athleteinjuredhisbodypart,concept:bodypart:eyes
61,concept:athlete:albert,1070,1.0,concept:athleteinjuredhisbodypart,concept:muscle:eyes
62,concept:sportsteam:the_rockefeller,1070,0.9375,concept:teamplaysincity,concept:city:new_york
63,concept:athlete:joe_haden,1070,0.96875,concept:athleteplaysforteam,concept:sportsteam:cleveland_browns
64,concept:person:scottie_pippen,1070,0.98775,concept:athleteplaysinleague,concept:sportsleague:nba
65,concept:person:scottie_pippen,1070,0.948,concept:athleteplayssport,concept:sport:basketball
66,concept:athlete:pat_williams,1070,0.96875,concept:athleteplaysforteam,concept:sportsteam:minnesota_vikings
67,concept:sportsteam:florida_gators_basketball,1070,0.9999999999997483,concept:teamplaysagainstteam,concept:sportsteam:seminoles
68,concept:sportsteam:florida_gators_basketball,1070,0.9999999999990656,concept:teamplaysagainstteam,concept:sportsteam:alabama_crimson_tide
69,concept:sportsteam:florida_gators_basketball,1070,0.9999999947563032,concept:teamwontrophy,concept:awardtrophytournament:bcs_national_championship
70,concept:athlete:thierry_henry,1070,1.0,concept:athletehomestadium,concept:stadiumoreventvenue:camp_nou
71,concept:athlete:thierry_henry,1070,0.99609375,concept:athleteplaysforteam,concept:sportsteam:barcelona
72,concept:athlete:pippen,1070,0.9375,concept:athleteplaysforteam,concept:sportsteam:chicago_bulls
73,concept:athlete:rick_pitino,1070,0.999999811280227,concept:athletehomestadium,concept:stadiumoreventvenue:td_banknorth_garden
74,concept:athlete:kwame_brown,1070,0.9999990635666132,concept:athleteflyouttosportsteamposition,concept:sportsteamposition:center
75,concept:athlete:kwame_brown,1070,1.0,concept:athletehomestadium,concept:stadiumoreventvenue:staples_center
76,concept:athlete:kwame_brown,1070,0.9375,concept:athleteplaysforteam,concept:sportsteam:los_angeles_lakers
77,concept:sportsteam:long_island_u__blackbirds,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
78,concept:athlete:john_bannister,1070,0.9375,concept:athleteplayssport,concept:sport:baseball
79,concept:athlete:halak,1070,0.984375,concept:athleteplaysforteam,concept:sportsteam:habs
80,concept:sportsteam:uc_san_diego,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:international
81,concept:sportsgame:fifth_round,1070,0.96875,concept:sportsgamewinner,concept:sportsteam:new
82,concept:person:earl_cook,1070,0.96875,concept:athleteinjuredhisbodypart,concept:muscle:eyes
83,concept:person:earl_cook,1070,0.96875,concept:athleteinjuredhisbodypart,concept:bodypart:eyes
84,concept:sportsteam:baltimore_colts_in_super_bowl_iii,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:new_york_jets
85,concept:athlete:cj_miles,1070,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
86,concept:sportsteam:belgrade_university,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:international
87,concept:sportsteam:army_black_knights_football,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
88,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:astros_last_night
89,concept:sportsteam:louis_cardinals,1070,0.9999984761356437,concept:teamplaysagainstteam,concept:sportsteam:red_sox_this_season
90,concept:sportsteam:louis_cardinals,1070,0.9994532334514409,concept:teamplaysagainstteam,concept:sportsteam:pirates
91,concept:sportsteam:louis_cardinals,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:atlanta_braves_spring_training
92,concept:sportsteam:louis_cardinals,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:twins
93,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:dodgers
94,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:chicago_cubs_baseball
95,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:red_sox
96,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:new_york_mets
97,concept:sportsteam:louis_cardinals,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:yankees
98,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplaysinleague,concept:sportsleague:mlb
99,concept:sportsteam:louis_cardinals,1070,1.0,concept:teamplayssport,concept:sport:baseball
100,concept:sportsteam:louis_cardinals,1070,0.9999979127087786,concept:teamwontrophy,concept:awardtrophytournament:world_series
101,concept:sportsteam:habs,1070,0.95350118653903,concept:teamplaysagainstteam,concept:sportsteam:bruins
102,concept:sportsteam:habs,1070,1.0,concept:teamplaysinleague,concept:sportsleague:nhl
103,concept:athlete:o_j__mayo,1070,1.0,concept:athletehomestadium,concept:stadiumoreventvenue:fedex_forum
104,concept:athlete:o_j__mayo,1070,0.9999999935951092,concept:athleteplaysinleague,concept:sportsleague:nba
105,concept:athlete:o_j__mayo,1070,0.911,concept:athleteplayssport,concept:sport:basketball
106,concept:athlete:aj_green,1070,0.9375,concept:athleteplaysforteam,concept:sportsteam:bengals
107,concept:sportsteam:iowa_state_cyclones_basketball,1070,0.9999999807756216,concept:teamalsoknownas,concept:sportsteam:state_university
108,concept:athlete:ja,1070,0.9999999594584409,concept:athleteflyouttosportsteamposition,concept:sportsteamposition:center
109,concept:athlete:ja,1070,0.999999907431537,concept:athleteplaysinleague,concept:sportsleague:mlb
110,concept:person:grant_hill,1070,0.96875,concept:athleteledsportsteam,concept:sportsteam:suns
111,concept:person:grant_hill,1070,1.0,concept:athleteplaysforteam,concept:sportsteam:suns
112,concept:person:grant_hill,1070,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
113,concept:athlete:jeremy_bates,1070,1.0,concept:athletehomestadium,concept:stadiumoreventvenue:invesco_field
114,concept:athlete:jeremy_bates,1070,0.9999999987007107,concept:coachesinleague,concept:sportsleague:nfl
115,concept:sportsteam:american_university_s_school,1070,0.96875,concept:teamplaysinleague,concept:sportsleague:international
116,concept:sportsteam:tufts_university__s_fletcher_school,1070,0.984375,concept:teamplaysinleague,concept:sportsleague:international
117,concept:sportsteam:niagara_college,1070,0.96875,concept:teamplaysinleague,concept:sportsleague:international
118,concept:athlete:oscar_de_la_hoya,1070,1.0,concept:athleteplayssport,concept:sport:boxing
119,concept:sportsteam:carolina,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:cardinals__
120,concept:sportsteam:carolina,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:buccaneers
121,concept:sportsteam:carolina,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:packers
122,concept:sportsteam:carolina,1070,0.9965680486069496,concept:teamplaysagainstteam,concept:sportsteam:arizona_cardinals
123,concept:sportsteam:carolina,1070,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:falcons
124,concept:sportsteam:carolina,1070,0.984375,concept:teamplaysagainstteam,concept:sportsteam:sd_chargers
125,concept:sportsteam:carolina,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:pittsburgh_steelers_sunday
126,concept:sportsteam:carolina,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:dallas_cowboys
127,concept:sportsteam:carolina,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:detroit_lions
128,concept:sportsteam:carolina,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:minnesota_vikings
129,concept:sportsteam:carolina,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:philadelphia_eagles
130,concept:sportsteam:carolina,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:new_york_jets
131,concept:sportsteam:carolina,1070,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:new
132,concept:sportsteam:carolina,1070,0.9999999995744405,concept:teamplaysinleague,concept:sportsleague:nfl
133,concept:sportsteam:carolina,1070,0.9609360772774964,concept:teamwontrophy,concept:awardtrophytournament:stanley_cup
134,concept:athlete:devin_brown,1070,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
135,concept:coach:flip_saunders,1070,0.9999999989776758,concept:coachesinleague,concept:sportsleague:nba
136,concept:athlete:sharapova,1070,0.993716246144378,concept:athletebeatathlete,concept:athlete:williams
137,concept:athlete:sharapova,1070,0.9999931073206021,concept:athletewinsawardtrophytournament,concept:awardtrophytournament:australian_open
138,concept:athlete:sharapova,1070,0.9921875,concept:athletewinsawardtrophytournament,concept:awardtrophytournament:wimbledon
139,concept:athlete:sharapova,1070,0.9375,concept:athletewinsawardtrophytournament,concept:awardtrophytournament:us_open
140,concept:athlete:rusty_wallace,1070,1.0,concept:athleteledsportsteam,concept:sportsteam:brad_keselowkski
141,concept:athlete:rusty_wallace,1070,1.0,concept:athleteplaysforteam,concept:sportsteam:trevor_bayne
142,concept:sportsteam:islanders,1070,0.9998565328078377,concept:teamplaysagainstteam,concept:sportsteam:pittsburgh_penguins
143,concept:sportsteam:islanders,1070,0.9996261213370463,concept:teamplaysagainstteam,concept:sportsteam:rangers
144,concept:sportsteam:islanders,1070,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:devils
145,concept:sportsteam:islanders,1070,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:montreal_canadiens
146,concept:sportsteam:islanders,1070,0.96875,concept:teamplaysagainstteam,concept:sportsteam:tampa_bay_lightning
147,concept:sportsteam:islanders,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:carolina_hurricanes_hockey
148,concept:sportsteam:islanders,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:ottawa_senators
149,concept:sportsteam:islanders,1070,0.99609375,concept:teamplaysagainstteam,concept:sportsteam:philadelphia_flyers
150,concept:sportsteam:islanders,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:new_jersey_devils
151,concept:sportsteam:islanders,1070,0.9999999999472882,concept:teamplaysinleague,concept:sportsleague:nhl
152,concept:sportsteam:islanders,1070,0.998708735392359,concept:teamwontrophy,concept:awardtrophytournament:stanley_cup
153,concept:sportsteam:s__mississippi_golden_eagles,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
154,concept:athlete:mike_vick,1070,1.0,concept:athleteplayssportsteamposition,concept:sportsteamposition:player
155,concept:transportation:express,1070,0.9999975887175938,concept:transportationincity,concept:city:london
156,concept:transportation:subway,1070,1.0,concept:transportationincity,concept:city:new_york
157,concept:transportation:south_west,1070,0.9997933323286288,concept:transportationincity,concept:city:london_waterloo
158,concept:visualizablescene:manchester_airports,1070,0.998135908823278,concept:transportationincity,concept:city:paddington
159,concept:transportation:airports,1070,0.999999516154649,concept:transportationincity,concept:city:london
160,concept:airport:gatwick,1070,0.9999999666771796,concept:transportationincity,concept:city:victoria
161,concept:country:england,1063,0.998046875,concept:countryisthehomeofsportsteam,concept:sportsteam:manchester_united
162,concept:country:brazil,1069,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:palmeiras
163,concept:country:brazil,1069,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:corinthians
164,concept:country:brazil,1069,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:santos
165,concept:country:scotland,1070,0.9375,concept:countryisthehomeofsportsteam,concept:sportsteam:rangers
166,concept:country:portugal,1031,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:benfica
167,concept:country:usa,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:eagles
168,concept:country:usa,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:st___louis_cardinals
169,concept:country:usa,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:san_diego_padres
170,concept:country:usa,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:chicago_bulls
171,concept:country:usa,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:carolina_panthers
172,concept:country:usa,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:titans
173,concept:country:usa,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:florida_marlins_team
174,concept:country:usa,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:new_york_mets
175,concept:country:usa,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:chicago_cubs_baseball
176,concept:country:usa,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:yankees
177,concept:country:usa,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:boston_red_sox
178,concept:country:spain,1069,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:barcelona
179,concept:country:spain,1048,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:real_madrid
180,concept:country:uk,1070,1.0,concept:countryisthehomeofsportsteam,concept:sportsteam:chelsea
181,concept:sportsteam:gonzaga_bulldogs,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
182,concept:sportsteam:cal_state_los_angeles_golden_eagles,1070,0.9990234375,concept:teamplaysinleague,concept:sportsleague:ncaa
183,concept:sportsteam:florida_atlantic_university,1070,0.96875,concept:teamalsoknownas,concept:sportsteam:state_university
184,concept:sportsteam:florida_atlantic_university,1070,0.9375,concept:teamplaysincity,concept:city:boca_raton
185,concept:sportsteam:florida_atlantic_university,1070,0.984375,concept:teamplaysinleague,concept:sportsleague:international
186,concept:sportsteam:bemidji_state_beavers,1069,0.9375,concept:teamalsoknownas,concept:sportsteam:state_university
187,concept:sportsteam:bemidji_state_beavers,1070,0.9375,concept:teamplaysincity,concept:city:bemidji
188,concept:sportsteam:bemidji_state_beavers,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
189,concept:sportsteam:west_coast_conference,1070,0.984375,concept:teamplaysinleague,concept:sportsleague:ncaa
190,concept:sportsteam:miami_marlins,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:chicago_cubs_baseball
191,concept:sportsteam:miami_marlins,1070,0.96875,concept:teamplaysinleague,concept:sportsleague:mlb
192,concept:sportsteam:miami_marlins,1057,0.96875,concept:teamwontrophy,concept:awardtrophytournament:world_series
193,concept:sportsteam:zimbabwe_open_university,1070,0.9921875,concept:teamplaysinleague,concept:sportsleague:international
194,concept:sportsteam:italy,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:germany
195,concept:sportsteam:italy,1070,0.9999999949546525,concept:teamplaysagainstteam,concept:sportsteam:brazil
196,concept:sportsteam:italy,1070,0.999999940190514,concept:teamplayssport,concept:sport:golf
197,concept:sportsteam:west_georgia_wolves,1070,0.99951171875,concept:teamplaysinleague,concept:sportsleague:ncaa
198,concept:sportsteam:milwaukee_braves,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:yankees
199,concept:sportsteam:milwaukee_braves,1070,0.9999999999152069,concept:teamplaysinleague,concept:sportsleague:mlb
200,concept:sportsteam:milwaukee_braves,1070,0.9905,concept:teamplayssport,concept:sport:baseball
201,concept:sportsteam:milwaukee_braves,1040,0.984375,concept:teamwontrophy,concept:awardtrophytournament:world_series
202,concept:sportsteam:washington_university,1070,0.9999999999995453,concept:teamplaysincity,concept:city:st_louis
203,concept:sportsteam:washington_university,1070,0.9999999999417923,concept:teamplaysinleague,concept:sportsleague:international
204,concept:sportsteam:washington_university,1070,0.984375,concept:teamplayssport,concept:sport:football
205,concept:sportsteam:california_state_university,1052,0.9375,concept:teamalsoknownas,concept:sportsteam:state_university
206,concept:sportsteam:california_state_university,1070,0.984375,concept:teamplaysincity,concept:city:chico
207,concept:sportsteam:california_state_university,1070,0.9999847412109375,concept:teamplaysinleague,concept:sportsleague:international
208,concept:sportsteam:new_jersey_institute_of_technology_highlanders,1070,0.9990234375,concept:teamplaysinleague,concept:sportsleague:ncaa
209,concept:sportsteam:kc_chiefs,1070,0.9999999999952285,concept:teamplaysincity,concept:city:kansas
210,concept:sportsteam:kc_chiefs,1070,0.9999998700822432,concept:teamplaysinleague,concept:sportsleague:nfl
211,concept:sportsteam:kc_chiefs,1070,0.9999999787432454,concept:teamwontrophy,concept:awardtrophytournament:super_bowl_xlii
212,concept:sportsteam:kc_chiefs,1070,0.9999999787432454,concept:teamwontrophy,concept:awardtrophytournament:super_bowl
213,concept:sportsteam:twins,1070,0.96875,concept:teamhomestadium,concept:stadiumoreventvenue:target_field
214,concept:sportsteam:twins,1058,1.0,concept:teamplaysagainstteam,concept:sportsteam:chicago_white_sox
215,concept:sportsteam:twins,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:red_sox_this_season
216,concept:sportsteam:twins,1060,0.9968136375829916,concept:teamplaysagainstteam,concept:sportsteam:mariners
217,concept:sportsteam:twins,1066,0.9953501520912956,concept:teamplaysagainstteam,concept:sportsteam:atlanta_braves_spring_training
218,concept:sportsteam:twins,1069,0.9999999723944285,concept:teamplaysagainstteam,concept:sportsteam:white_sox
219,concept:sportsteam:twins,1058,0.9998774507555666,concept:teamplaysagainstteam,concept:sportsteam:brewers
220,concept:sportsteam:twins,1069,0.9921875,concept:teamplaysagainstteam,concept:sportsteam:royals
221,concept:sportsteam:twins,1058,0.9939415281615435,concept:teamplaysagainstteam,concept:sportsteam:baltimore_orioles
222,concept:sportsteam:twins,1070,0.992360690787311,concept:teamplaysagainstteam,concept:sportsteam:rangers
223,concept:sportsteam:twins,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:detroit_tigers
224,concept:sportsteam:twins,1067,0.99609375,concept:teamplaysagainstteam,concept:sportsteam:new_york_mets
225,concept:sportsteam:twins,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:cleveland_indians
226,concept:sportsteam:twins,1058,0.96875,concept:teamplaysagainstteam,concept:sportsteam:texas_rangers
227,concept:sportsteam:twins,1058,0.9998410097354029,concept:teamplaysagainstteam,concept:sportsteam:tampa_bay_devil_rays
228,concept:sportsteam:twins,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:red_sox
229,concept:sportsteam:twins,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:indians
230,concept:sportsteam:twins,1069,1.0,concept:teamplaysagainstteam,concept:sportsteam:yankees
231,concept:sportsteam:twins,1069,0.9998115756380508,concept:teamplaysagainstteam,concept:sportsteam:blue_jays
232,concept:sportsteam:twins,1069,0.9926481672561354,concept:teamplaysagainstteam,concept:sportsteam:dodgers
233,concept:sportsteam:twins,1070,0.9978957150714434,concept:teamplaysagainstteam,concept:sportsteam:boston_red_sox
234,concept:sportsteam:twins,1070,0.9375,concept:teamplaysagainstteam,concept:sportsteam:chicago_cubs_baseball
235,concept:sportsteam:twins,1070,0.9999999999963679,concept:teamplaysinleague,concept:sportsleague:mlb
236,concept:sportsteam:twins,1070,0.9953638417156995,concept:teamplayssport,concept:sport:hockey
237,concept:sportsteam:twins,1058,0.999999999716096,concept:teamwontrophy,concept:awardtrophytournament:world_series
238,concept:sportsteam:art_students_league,1070,1.0,concept:teamplaysincity,concept:city:new_york
239,concept:sportsteam:johns_hopkins_university_school,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:international
240,concept:sportsteam:santa_clara_broncos,1070,0.99993896484375,concept:teamplaysinleague,concept:sportsleague:ncaa
241,concept:sportsteam:mount_st_marys_mountaineers,1070,0.984375,concept:teamplaysinleague,concept:sportsleague:ncaa
242,concept:sportsteam:quinnipiac_bobcats,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
243,concept:sportsteam:american_university,1070,0.998046875,concept:teamplaysinleague,concept:sportsleague:international
244,concept:sportsteam:american_university,1070,0.9375,concept:teamplayssport,concept:sport:basketball
245,concept:sportsteam:ecole_des_beaux_arts,1070,0.9375,concept:teamplaysincity,concept:city:paris
246,concept:sportsteam:cameron_aggies,1070,0.9990234375,concept:teamplaysinleague,concept:sportsleague:ncaa
247,concept:sportsteam:southern_mississippi_eagles,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
248,concept:sportsteam:oregon_state_beavers,1070,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
249,concept:sportsteam:montana_state_university,1070,0.9999995231628418,concept:teamalsoknownas,concept:sportsteam:state_university
250,concept:sportsteam:montana_state_university,1070,0.9999999962747097,concept:teamplaysincity,concept:city:bozeman
251,concept:sportsteam:montana_state_university,1070,0.998046875,concept:teamplayssport,concept:sport:basketball
252,concept:sportsteam:osu,1070,0.96875,concept:teamplaysincity,concept:city:tulsa
253,concept:sportsteam:osu,1070,0.9921875,concept:teamplaysinleague,concept:sportsleague:international
254,concept:sportsteam:osu,1070,0.96775,concept:teamplayssport,concept:sport:basketball
255,concept:sportsteam:jacksonville_st__gamecocks,1070,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
256,concept:sportsteam:rutgers_camden_scarlet_raptors,1070,0.9999999685786122,concept:teamplaysagainstteam,concept:sportsteam:princeton_devil_rays
257,concept:sportsteam:rutgers_camden_scarlet_raptors,1070,0.9999999993980713,concept:teamplaysincity,concept:city:new_brunswick
258,concept:sportsteam:houston_texans,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:dallas_cowboys
259,concept:sportsteam:houston_texans,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:oakland_raiders
260,concept:sportsteam:houston_texans,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:bears_29_17
261,concept:sportsteam:houston_texans,1070,1.0,concept:teamplaysagainstteam,concept:sportsteam:baltimore_colts
262,concept:sportsteam:houston_texans,1070,0.9999999652641174,concept:teamplaysagainstteam,concept:sportsteam:titans
263,concept:sportsteam:houston_texans,1070,0.9999844151215916,concept:teamplaysagainstteam,concept:organization:jaguars
264,concept:sportsteam:houston_texans,1070,0.9999841785816468,concept:teamplaysagainstteam,concept:sportsteam:cleveland_browns
